PeriodStart,Cost
2025-02-13,173.0
2025-02-14,173.5
2025-02-15,174.0
2025-02-16,174.5
2025-02-17,175.0
2025-02-18,175.5
2025-02-19,176.0
2025-02-20,176.5
2025-02-21,177.0
2025-02-22,177.5
2025-02-23,178.0
2025-02-24,178.5
2025-02-25,179.0
2025-02-26,179.5
2025-02-27,180.0
2025-02-28,180.5
2025-03-01,181.0
2025-03-02,181.5
2025-03-03,182.0
2025-03-04,182.5
2025-03-05,183.0
2025-03-06,183.5
2025-03-07,184.0
2025-03-08,184.5
2025-03-09,185.0
2025-03-10,185.5
2025-03-11,186.0
2025-03-12,186.5
2025-03-13,187.0
2025-03-14,187.5
2025-03-15,188.0
2025-03-16,188.5
2025-03-17,189.0
2025-03-18,189.5
2025-03-19,190.0
2025-03-20,190.5
2025-03-21,191.0
2025-03-22,191.5
2025-03-23,192.0
2025-03-24,192.5
2025-03-25,193.0
2025-03-26,193.5
2025-03-27,194.0
2025-03-28,194.5
2025-03-29,195.0
2025-03-30,195.5
2025-03-31,196.0
2025-04-01,196.5
2025-04-02,197.0
2025-04-03,197.5
2025-04-04,198.0
2025-04-05,198.5
2025-04-06,199.0
2025-04-07,199.5
2025-04-08,200.0
2025-04-09,200.5
2025-04-10,201.0
2025-04-11,201.5
2025-04-12,202.0
2025-04-13,202.5
2025-04-14,203.0
2025-04-15,203.5
2025-04-16,204.0
2025-04-17,204.5
2025-04-18,205.0
2025-04-19,205.5
2025-04-20,206.0
2025-04-21,206.5
2025-04-22,207.0
2025-04-23,207.5
2025-04-24,208.0
2025-04-25,208.5
2025-04-26,209.0
2025-04-27,209.5
2025-04-28,210.0
2025-04-29,210.5
2025-04-30,211.0
2025-05-01,211.5
2025-05-02,212.0
2025-05-03,212.5
2025-05-04,213.0
2025-05-05,213.5
2025-05-06,214.0
2025-05-07,214.5
2025-05-08,215.0
2025-05-09,215.5
2025-05-10,216.0
2025-05-11,216.5
2025-05-12,217.0
2025-05-13,217.5
2025-05-14,218.0
2025-05-15,218.5
2025-05-16,219.0
2025-05-17,219.5
2025-05-18,220.0
2025-05-19,220.5
2025-05-20,221.0
2025-05-21,221.5
2025-05-22,222.0
2025-05-23,222.5
2025-05-24,223.0
2025-05-25,223.5
2025-05-26,224.0
2025-05-27,224.5
2025-05-28,225.0
2025-05-29,225.5
2025-05-30,226.0
2025-05-31,226.5
2025-06-01,227.0
2025-06-02,227.5
2025-06-03,228.0
2025-06-04,228.5
2025-06-05,229.0
2025-06-06,229.5
2025-06-07,230.0
2025-06-08,230.5
2025-06-09,231.0
2025-06-10,231.5
2025-06-11,232.0
2025-06-12,232.5
2025-06-13,233.0
2025-06-14,233.5
2025-06-15,234.0
2025-06-16,234.5
2025-06-17,235.0
2025-06-18,235.5
2025-06-19,236.0
2025-06-20,236.5
2025-06-21,237.0
2025-06-22,237.5
2025-06-23,238.0
2025-06-24,238.5
2025-06-25,239.0
2025-06-26,239.5
2025-06-27,240.0
2025-06-28,240.5
2025-06-29,241.0
2025-06-30,241.5
2025-07-01,242.0
2025-07-02,242.5
2025-07-03,243.0
2025-07-04,243.5
2025-07-05,244.0
2025-07-06,244.5
2025-07-07,245.0
2025-07-08,245.5
2025-07-09,246.0
2025-07-10,246.5
2025-07-11,247.0
2025-07-12,247.5
2025-07-13,248.0
2025-07-14,248.5
2025-07-15,249.0
2025-07-16,249.5
2025-07-17,250.0
2025-07-18,250.5
2025-07-19,251.0
2025-07-20,251.5
2025-07-21,252.0
2025-07-22,252.5
2025-07-23,253.0
2025-07-24,253.5
2025-07-25,254.0
2025-07-26,254.5
2025-07-27,255.0
2025-07-28,255.5
2025-07-29,256.0
2025-07-30,256.5
2025-07-31,257.0
2025-08-01,257.5
2025-08-02,258.0
2025-08-03,258.5
2025-08-04,259.0
2025-08-05,259.5
2025-08-06,260.0
2025-08-07,260.5
2025-08-08,261.0
2025-08-09,261.5
2025-08-10,262.0
2025-08-11,262.5
2025-08-12,263.0
2025-08-13,263.5
2025-08-14,264.0
2025-08-15,264.5
2025-08-16,265.0
2025-08-17,265.5
2025-08-18,266.0
2025-08-19,266.5
2025-08-20,267.0
2025-08-21,267.5
2025-08-22,268.0
2025-08-23,268.5
2025-08-24,269.0
2025-08-25,269.5
2025-08-26,270.0
2025-08-27,270.5
2025-08-28,271.0
2025-08-29,271.5
2025-08-30,272.0
2025-08-31,272.5
2025-09-01,273.0
2025-09-02,273.5
2025-09-03,274.0
2025-09-04,274.5
2025-09-05,275.0
2025-09-06,275.5
2025-09-07,276.0
2025-09-08,276.5
2025-09-09,277.0
2025-09-10,277.5
2025-09-11,278.0
2025-09-12,278.5
2025-09-13,279.0
2025-09-14,279.5
2025-09-15,280.0
2025-09-16,280.5
2025-09-17,281.0
2025-09-18,281.5
2025-09-19,282.0
